File,Diversity
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/-IL2-1_normalized-concat.fcs_comp_NK Cells.txt,27.585101970534307
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/NZ01_00_normalized.fcs_comp_NK Cells.txt,2832.65897165651
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/NZ02_00_normalized.fcs_comp_NK Cells.txt,4894.9494890188325
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/NZ05_00_normalized.fcs_comp_NK Cells.txt,2375.6298388615483
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/NZ06_00_normalized.fcs_comp_NK Cells.txt,8161.22666501913
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/NZ07_00_normalized.fcs_comp_NK Cells.txt,2437.4786720627744
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/NZ08_00_normalized.fcs_comp_NK Cells.txt,3093.154045877595
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/NZ09_00_normalized.fcs_comp_NK Cells.txt,1614.5375544669862
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/NZ11_00_normalized.fcs_comp_NK Cells.txt,748.0757621210237
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/NZ13_00_normalized.fcs_comp_NK Cells.txt,4456.180403225682
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/NZ14_00_normalized.fcs_comp_NK Cells.txt,1222.8658300958818
/Users/Geoff/Documents/_NK Collaboration/Experiments/170306 NKL Diversity Characterization/ExportedLiveNKs/_+IL2_normalized.fcs_comp__+IL2_normalized.fcs - _+IL2_normalized.fcs_NK Cells.txt,6.36156950820893
